Jurisdiction,Year,Category,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Total
Baltimore County,2035,Hispanic Male,2745,2650,2674,2756,2823,2512,2251,2093,2256,2555,2550,2212,1738,1211,675,469,200,114,34484
Anne Arundel County,2020,Non-Hisp Black Male,3567,3673,3643,3473,3269,3563,3860,4097,3415,3121,3171,3154,2567,1770,1019,630,375,313,48680
Worcester County,2020,Total,2239,2284,2843,2763,2400,2480,2578,2529,2557,2881,3658,4699,4838,4210,3734,2861,1849,1698,53101
State of Maryland,2020,Total Hispanic,56349,56990,54734,51724,44602,47825,54368,57754,53480,44097,35698,28457,20352,12984,7923,4851,2828,2051,637067
Wicomico County,2020,Non-Hisp Black Male,1111,1051,1075,1138,1019,825,845,732,699,678,702,755,690,557,363,209,109,92,12650
Worcester County,2020,Non-Hisp Black Female,197,183,292,256,230,239,242,211,207,165,218,304,281,248,210,159,127,117,3886
Worcester County,2020,Hispanic Male,70,82,94,92,63,87,110,111,92,90,71,47,23,20,16,13,9,9,1099
Allegany County,2025,Non-Hisp Black Female,82,69,67,335,213,69,114,87,40,46,43,39,52,39,51,37,22,38,1443
Montgomery County,2025,Non-Hisp Other Female,6947,6784,7305,7476,6892,7980,7334,7540,8578,9110,8821,8369,7808,6637,5282,4098,2385,2285,121631
Dorchester Co,2030,Total Male,1043,1044,1070,1043,975,915,913,1024,1259,1249,1057,1066,1173,1282,1113,726,472,346,17770
Wicomico County,2030,Non-Hisp Other Female,320,258,212,367,509,430,363,268,259,221,223,215,169,155,121,85,64,24,4263
Wicomico County,2020,Total Male,3062,2874,3335,4265,4365,3584,3166,2982,3047,2819,2865,3197,3166,2653,1982,1372,697,813,50244
Prince George's County,2040,Non-Hisp Other Male,2464,2124,2002,3063,2973,2352,2373,2297,2010,2200,2062,1884,1900,1496,1184,682,334,218,33618
Prince George's County,2025,Total Male,29951,27751,28810,31976,33316,30483,35537,33501,30523,28195,26648,26689,26355,22212,16034,11393,6227,5106,450707
Garrett County,2035,Non-Hisp White Female,691,764,769,735,668,686,819,981,876,866,988,881,1037,1033,1050,912,667,747,15170
Calvert County,2045,Total Non_Hispanic Other,366,432,475,466,244,225,215,407,487,427,345,315,273,171,191,188,146,21,5394
Harford County,2030,Total Female,8105,8067,7782,7292,7109,7963,9291,9576,8713,8279,7526,7874,8924,9677,8519,6244,4905,6414,142260
Washington County,2045,Non-Hisp Black Male,1286,1189,1133,1326,1910,1862,1574,1315,1306,1140,974,654,512,441,175,155,81,-2,17031
Baltimore City,2020,Hispanic Female,1267,1442,1229,1092,493,595,1298,1659,1381,901,623,482,390,261,180,68,20,6,13387
Baltimore County,2020,Non-Hisp Other Female,2950,3055,3525,3651,3359,2840,2982,3214,3133,3040,2371,2083,1909,1250,1015,639,425,279,41720
Kent County,2045,Non-Hisp Black Male,48,45,42,60,54,51,54,61,103,110,199,168,163,168,113,75,86,63,1663
Harford County,2010,Total Female,7329,7860,8826,8347,6704,7125,7143,8184,9490,10802,10157,8495,7240,5499,3815,3073,2527,2517,125133
Howard County,2025,Non-Hisp White Female,3642,3683,3849,2905,2742,4601,5094,4596,4455,3903,4565,5796,6791,6461,5630,4660,3098,2640,79111
Cecil County,2010,Non-Hisp Other Female,199,204,204,145,103,118,96,124,108,94,95,69,63,29,23,15,5,5,1699
Charles County,2035,Total Male,6827,7295,7444,7186,5537,5419,5866,6449,6464,5742,5033,4548,5170,5594,5086,3494,1944,1291,96389
Charles County,2040,Non-Hisp Black Female,4107,4406,4947,4894,3487,3634,4027,4633,5312,5409,4297,3825,3789,4545,4504,3812,1511,1587,72726
Washington County,2025,Total Non_Hispanic Other,988,755,636,1315,971,813,614,484,501,451,479,408,393,249,186,93,22,20,9378
Caroline County,2045,Non-Hisp White Female,925,1053,1020,908,726,774,894,1213,1327,1108,1037,1135,995,901,828,802,695,680,17021
State of Maryland,2030,Non-Hisp White Female,72644,72725,71649,71288,70711,83580,87154,95878,96311,88824,79193,84880,99445,111496,102979,85497,66329,71574,1512157
Garrett County,2035,Non-Hisp White Male,708,768,823,775,679,693,788,915,904,793,885,931,960,1044,1022,802,485,402,14377
Charles County,2030,Total,12993,12963,13347,12838,10605,11411,12872,13477,11866,10994,10459,12035,13476,12711,9197,6448,3876,3099,194667
Somerset County,2040,Total Non_Hispanic Other,119,140,88,129,165,53,91,79,80,71,73,38,39,36,17,18,14,15,1265
Dorchester Co,2040,Non-Hisp Other Female,85,67,49,35,25,29,85,76,68,63,67,65,42,36,28,7,8,2,837
Prince George's County,2015,Non-Hisp Black Male,17804,17548,17969,19710,21079,18199,16209,15896,16815,18670,19608,17640,14127,11234,7068,4401,2455,1574,258006
Harford County,2025,Non-Hisp White Male,5319,5134,4864,4915,4856,5634,6252,6272,5983,4939,5230,6217,7282,6630,5120,3875,2417,2084,93023
Worcester County,2010,Hispanic Male,83,83,47,66,101,103,87,78,76,59,25,20,17,14,11,8,6,0,884
Wicomico County,2025,Non-Hisp White Female,1551,1379,1225,2657,3467,2571,2044,2049,1766,1936,1856,2055,2328,2304,2189,1753,1185,1348,35663
Somerset County,2010,Total Non-Hispanic White,591,602,638,728,756,765,733,789,853,1142,1191,1163,1110,892,626,490,393,334,13796
Washington County,2040,Non-Hisp White Female,3880,3803,3954,3863,3486,3201,3757,4036,3673,3605,3799,3972,3680,3915,4118,4311,3213,4089,68355
Caroline County,2010,Hispanic Female,114,98,79,60,78,81,83,49,41,19,33,24,9,1,3,2,2,1,777
State of Maryland,2020,Hispanic Male,29001,29245,27826,26352,23338,25755,29451,31664,28965,23814,18896,14383,10075,6127,3314,1963,992,742,331903
Prince George's County,2010,Total Non-Hispanic Black,35235,35683,39155,43340,38079,36529,35481,39008,43564,46260,42229,35891,29659,19400,12578,7985,4560,3803,548439
Wicomico County,2030,Non-Hisp White Female,1720,1555,1364,2331,3220,2689,2286,2309,1995,1815,1959,1795,2001,2250,2280,1883,1518,1616,36586
Montgomery County,2015,Total Non-Hispanic White,22650,22698,26334,23969,20646,29025,28742,25454,26310,32069,38685,41043,37550,30212,20929,14208,11329,16461,468314
Somerset County,2035,Non-Hisp White Female,236,241,247,269,256,220,266,287,308,404,469,465,537,487,518,459,338,323,6330
Calvert County,2010,Hispanic Male,126,143,143,101,80,74,72,75,98,101,59,35,28,20,6,11,6,5,1183
St. Mary's County,2010,Hispanic Male,236,204,188,184,204,216,181,138,141,101,101,57,25,10,15,11,7,5,2024
Talbot County,2035,Hispanic Male,168,152,138,127,136,146,131,99,93,136,172,111,103,34,23,15,7,17,1808
Worcester County,2035,Total Non_Hispanic Other,238,210,257,216,119,160,146,136,98,98,115,115,123,85,97,66,35,26,2340
Anne Arundel County,2030,Total,36462,35585,35430,35761,36395,36257,37971,39799,40740,39547,34416,34190,35653,36414,30196,22530,16314,13055,596715
Anne Arundel County,2040,Non-Hisp White Male,9531,9166,9287,9892,10436,10394,10452,10337,11005,11605,11900,11138,8867,8854,9295,8894,6350,6218,173621
Wicomico County,2045,Total Non-Hispanic Black,3246,3155,3283,3319,3339,2803,2824,2719,2763,2464,2552,2367,2010,1620,1188,1067,808,804,42331
Charles County,2025,Non-Hisp Other Female,605,540,486,754,627,708,611,527,552,520,508,516,469,370,259,186,104,26,8368
Calvert County,2035,Non-Hisp Other Male,203,224,218,183,99,175,180,169,137,127,105,94,112,102,93,62,21,7,2311
Howard County,2030,Total Hispanic,2851,2598,2408,2453,2763,2587,2535,2290,1976,2000,1990,1666,1449,931,588,388,187,79,31739
Washington County,2010,Non-Hisp Black Male,431,482,455,646,1042,1104,995,872,925,835,575,322,220,124,59,33,20,7,9147
Harford County,2020,Hispanic Female,561,679,701,557,493,432,395,468,387,343,318,280,186,141,86,68,43,25,6163
Worcester County,2010,Non-Hisp White Female,696,843,937,991,870,895,830,1016,1309,1611,1713,1761,1926,1818,1371,1099,770,707,21163
Washington County,2015,Hispanic Male,390,388,345,304,296,287,298,272,250,230,155,121,83,48,24,5,8,3,3507
Prince George's County,2030,Non-Hisp White Male,2624,2402,2228,3943,5462,3707,3809,4851,4151,2951,2417,2274,2573,3323,3451,2874,1869,1585,56494
Washington County,2030,Non-Hisp Black Female,1014,888,840,797,713,761,741,799,723,684,729,703,713,692,297,147,83,34,11358
Montgomery County,2035,Total Non-Hispanic Black,17646,15990,17608,16229,15094,15999,21281,18329,18825,18799,16366,13746,12268,10929,10486,7674,4844,4887,257000
Worcester County,2040,Hispanic Male,103,108,104,83,87,93,104,102,67,89,103,97,79,66,59,41,17,30,1432
Cecil County,2010,Total Female,3148,3399,3559,3546,2897,2885,3004,3350,3941,4184,4086,3434,2912,2054,1434,1214,871,889,50807
Cecil County,2025,Non-Hisp Black Female,274,229,236,260,253,350,370,301,237,301,318,316,322,201,145,102,31,31,4277
Baltimore City,2020,Total Hispanic,2602,3178,2706,2254,1174,1637,3169,3902,3233,2291,1637,1226,804,441,325,131,30,18,30758
Baltimore County,2035,Total Non_Hispanic Other,7145,6740,6745,7663,7802,8419,7788,7161,6278,6165,6150,6113,5936,4090,3377,2632,1580,1061,102845
Montgomery County,2045,Non-Hisp Other Male,9045,9561,9712,8921,7306,7638,8360,9165,8837,8178,7419,6899,6820,6637,6458,5199,4457,9863,140475
State of Maryland,2045,Hispanic Female,35142,33904,32625,32281,30467,28282,29901,28703,27712,24236,23863,25730,25661,21914,16671,11954,8312,4403,441761
Anne Arundel County,2035,Total Female,18247,18205,17808,16968,16843,19262,19265,19295,19493,20144,19308,17524,17075,17710,17821,14354,10527,10319,310168
Carroll County,2025,Total Hispanic,622,588,584,635,599,531,576,509,493,378,371,355,291,133,62,45,25,39,6836
Kent County,2025,Hispanic Female,33,22,21,53,43,29,20,30,38,34,22,17,16,7,2,1,1,0,389
Caroline County,2020,Total Non-Hispanic White,1297,1431,1772,1593,1135,1174,1572,1671,1568,1609,1885,2147,1962,1637,1304,864,497,512,25630
Kent County,2035,Non-Hisp Other Female,21,21,10,27,31,41,35,12,11,10,7,8,7,10,9,8,6,3,277
State of Maryland,2030,Total Female,193617,189670,187773,195405,193242,208433,211996,224644,223979,210922,193555,193294,204161,209700,182383,144387,105753,109779,3382693
State of Maryland,2015,Total Non-Hispanic White,150901,151532,169706,183170,189153,204368,190810,170409,178313,216231,258281,257072,224581,190364,135841,92300,69272,87233,3119537
Worcester County,2040,Total Hispanic,213,224,200,165,135,160,187,187,142,123,177,159,146,123,104,69,36,56,2606
Baltimore County,2025,Total,48165,49584,53329,56896,54514,54173,54619,55769,53230,49879,49360,52199,55627,52859,41705,31783,19275,24033,856999
Cecil County,2020,Non-Hisp White Male,2046,2224,2836,2635,2222,2492,2777,2489,2457,2837,3429,3780,3456,2733,2057,1281,690,663,43104
Queen Anne's County,2030,Total Female,1539,1611,1571,1358,1189,1277,1502,1705,1909,1720,1479,1770,2139,2233,1959,1473,1063,1089,28586
Baltimore City,2045,Non-Hisp Black Female,12031,12648,12011,13793,13254,11994,11759,13009,11826,11552,13447,13166,11957,9465,8089,7861,7861,9092,204815
Baltimore County,2045,Non-Hisp White Female,8500,8426,8143,10189,9878,9221,9863,9364,9606,9944,10366,11510,11563,10212,9834,10328,10493,16685,184125
Calvert County,2020,Total Hispanic,289,383,475,440,268,236,215,234,232,203,252,247,91,78,72,44,23,36,3818
Caroline County,2040,Non-Hisp Black Male,222,238,213,185,154,140,149,179,125,158,197,223,163,205,246,177,131,66,3171
Montgomery County,2020,Hispanic Female,8686,8359,8357,8138,7530,7866,8679,8879,8668,7612,6669,6022,4588,3338,2342,1531,1057,742,109063
Somerset County,2030,Total Male,769,698,669,1096,1875,1235,1117,1092,1025,864,790,771,711,868,647,479,327,227,15260
Wicomico County,2025,Non-Hisp Other Female,238,196,214,593,463,346,248,238,205,223,204,184,155,139,109,69,37,16,3877
State of Maryland,2035,Total Non-Hispanic Black,135489,136492,140091,142192,135142,136344,138573,141944,156324,145224,129273,115238,111091,110514,102874,79379,52757,58534,2167475
Cecil County,2030,Non-Hisp Black Female,317,281,278,252,265,312,421,426,335,272,378,341,344,278,201,157,54,35,4947
St. Mary's County,2025,Non-Hisp Other Female,364,315,343,536,399,296,293,232,237,250,230,252,258,185,163,101,34,5,4493
Wicomico County,2020,Total Non-Hispanic Black,2193,2173,2130,2264,2131,1910,1890,1738,1617,1414,1508,1738,1659,1265,822,499,278,318,27547
Baltimore County,2025,Total Female,23691,24355,26240,28554,28140,28443,27983,28696,27892,26095,26476,27881,30273,29153,23668,18426,11642,16134,453742
Somerset County,2020,Non-Hisp Black Male,262,233,260,662,1368,796,539,414,425,348,283,404,245,147,95,60,66,26,6633
State of Maryland,2025,Non-Hisp Black Female,61058,59656,62624,64829,61565,67507,75927,74773,68447,63122,64102,68296,70146,60192,46844,34245,19993,22814,1046140
Charles County,2035,Non-Hisp Other Male,905,946,802,704,475,703,666,646,564,462,365,375,355,383,306,242,186,35,9120
Cecil County,2045,Total Hispanic,741,766,765,805,851,739,782,903,766,656,620,470,482,373,248,161,80,68,10276
Montgomery County,2040,Non-Hisp Other Female,8413,8580,8240,7870,7108,8301,9491,10242,10020,8572,8501,9449,9550,9068,8281,7317,5132,5576,149711
Frederick County,2035,Total Non-Hispanic Black,2747,2604,2757,2476,2178,2137,2539,2829,2983,2381,2366,2105,2150,2005,1605,1082,642,489,38075
Dorchester Co,2015,Non-Hisp Black Male,293,345,327,323,230,207,198,223,279,268,327,337,274,166,113,82,70,47,4109
Caroline County,2025,Non-Hisp White Female,698,700,699,799,738,711,787,942,917,867,845,1006,1058,996,812,630,396,331,13932
Kent County,2025,Total,736,882,924,1452,1433,722,878,1135,1017,1019,1184,1526,1896,2066,1583,1223,1034,888,21598
Baltimore City,2025,Total Non-Hispanic Black,23458,23514,22980,27202,25390,23248,26335,27105,26156,23024,20290,21747,24029,21626,16141,10988,6330,6513,376076
Worcester County,2025,Non-Hisp White Male,820,903,1039,1022,957,891,871,956,1071,1022,1309,1811,2291,1897,1554,1305,868,698,21285
Baltimore City,2020,Hispanic Male,1335,1736,1477,1162,681,1042,1871,2243,1852,1390,1014,744,414,180,145,63,10,12,17371
Charles County,2015,Total Female,4642,4969,5607,5894,4976,4716,4833,5048,6007,7111,7136,5626,4454,3517,2501,1656,1022,1167,80882
Washington County,2025,Non-Hisp Black Male,828,774,706,851,1408,1402,1351,1052,965,893,693,641,550,310,97,60,30,3,12614
Baltimore City,2030,Total Non-Hispanic White,10349,7203,6038,6395,11214,21923,17882,19758,18249,13210,9492,7448,6953,6611,6162,5003,3438,2652,179980
Frederick County,2010,Total Hispanic,1922,1702,1591,1455,1390,1613,1710,1474,1276,1104,720,410,288,173,111,86,60,50,17135
Garrett County,2045,Total Non_Hispanic Other,98,112,148,90,59,52,61,64,47,33,35,31,23,17,5,11,13,13,912
Worcester County,2030,Total Male,1309,1357,1503,1392,1477,1391,1295,1290,1464,1537,1515,1796,2416,2505,1993,1507,1064,941,27752
Harford County,2025,Non-Hisp White Female,4984,4742,4512,4563,4554,5749,6228,6228,5881,5223,5653,6919,8055,7469,6089,4792,3470,4801,99912
Calvert County,2020,Total Non-Hispanic White,3888,4117,4496,4818,4215,4220,4756,4573,3811,4088,5719,6833,5663,4312,3359,2247,1310,1549,73974
Dorchester Co,2035,Non-Hisp Other Male,71,69,60,57,37,77,50,41,31,30,27,27,24,23,21,19,4,1,669
Queen Anne's County,2010,Total Male,1358,1633,1704,1690,1194,1116,1084,1369,1856,2224,1964,1702,1487,1255,846,623,358,280,23743
Wicomico County,2040,Non-Hisp Other Female,396,378,353,438,259,241,486,463,401,294,269,228,210,192,142,105,87,52,4994
Somerset County,2020,Total,1266,1069,1188,2549,3254,2046,1515,1481,1519,1435,1447,1836,1756,1459,1152,800,490,488,26750
Calvert County,2030,Total,5579,6117,6220,5419,4453,5232,6645,6953,6845,5942,4993,5177,6643,7315,5889,4255,2879,2642,99198
Kent County,2025,Non-Hisp Black Male,55,54,54,78,71,64,94,85,129,104,115,96,120,121,82,47,46,36,1451
Baltimore County,2040,Total Non-Hispanic White,16969,16509,16393,20411,20582,19323,18647,19203,20097,21193,23147,22832,20830,19845,21644,22741,19842,24322,364530
Cecil County,2025,Total,6626,6134,5977,7331,6971,6836,6827,6791,6192,6294,7196,8343,8786,7221,5366,4055,2370,2284,111600
Carroll County,2020,Total Male,4287,4563,5192,5656,4895,4595,4824,4644,4019,4825,6534,7619,6496,4972,3932,2621,1617,1653,82944
Kent County,2035,Non-Hisp Black Female,53,49,56,72,80,47,46,46,75,105,86,116,91,168,175,119,73,213,1670
Anne Arundel County,2015,Non-Hisp White Female,10475,10026,10783,10711,10514,12745,11992,11216,12004,14399,16984,15917,13835,12300,8857,5641,4224,5059,197682
Queen Anne's County,2020,Non-Hisp White Male,1003,1131,1284,1392,964,805,1260,1278,1137,1303,1652,2093,1801,1432,1169,949,447,380,21480
St. Mary's County,2035,Total,10152,10267,10027,9350,8511,9444,9987,9731,10213,9843,9262,7636,7001,7241,7203,5433,3466,3392,148159
Anne Arundel County,2045,Total Non-Hispanic Black,9357,9767,9746,9114,8489,8828,10044,10431,10169,9344,9749,9348,8788,6759,5173,4491,3329,2991,145917
Cecil County,2020,Total Male,2800,2932,3731,3501,3017,3263,3409,3079,2993,3346,4028,4329,3897,2936,2195,1337,730,711,52234
Frederick County,2030,Non-Hisp Other Female,1240,1174,895,891,1255,1326,1467,1237,942,850,920,988,797,633,466,303,224,124,15732
Anne Arundel County,2020,Non-Hisp Other Male,1507,1468,2193,2073,1869,1494,1436,1429,1366,1220,1043,1049,885,604,469,292,179,66,20642
Queen Anne's County,2045,Non-Hisp White Female,1373,1616,1678,1430,1064,994,1282,1660,1857,1814,1781,1746,1519,1225,1440,1711,1386,1886,27462
Frederick County,2030,Total Non_Hispanic Other,2627,2418,1773,1722,2137,2182,2357,2009,1579,1528,1652,1826,1518,1246,833,542,376,173,28498
Charles County,2015,Total Non_Hispanic Other,774,1207,1237,1138,774,699,714,782,759,766,718,641,497,352,196,128,104,20,11506
Queen Anne's County,2010,Non-Hisp Other Male,101,96,79,55,39,24,20,37,45,38,31,27,25,13,14,8,3,0,655
Caroline County,2030,Total Hispanic,550,435,335,318,289,346,251,184,179,134,114,119,43,30,22,15,8,5,3377
Harford County,2015,Total Hispanic,1029,1271,1081,1010,904,761,905,787,739,609,532,386,254,195,111,75,66,36,10751
Kent County,2030,Hispanic Male,39,39,38,45,78,53,59,56,72,42,46,24,18,1,0,0,0,0,610
St. Mary's County,2040,Non-Hisp Other Female,485,495,567,510,372,318,469,422,369,334,266,250,270,228,267,223,101,16,5962
Carroll County,2030,Total Non_Hispanic Other,875,799,646,636,621,617,568,516,446,365,354,499,462,470,330,123,78,67,8472
Harford County,2035,Total Male,8818,8703,8666,8197,6966,7602,8634,9096,8979,8414,7852,6646,6819,7143,7325,5518,3807,3840,133025
St. Mary's County,2020,Total Male,4042,4129,4515,4301,3751,4001,4040,4125,3579,3472,4119,4655,3633,2460,1986,1363,867,754,59792
Garrett County,2025,Non-Hisp Black Male,8,4,4,105,11,9,18,16,2,2,4,3,4,2,5,0,1,1,199
Garrett County,2035,Total Male,789,831,884,933,753,771,856,967,947,835,906,951,991,1054,1033,806,494,417,15218
Baltimore County,2010,Total Male,24499,24242,24970,28293,28163,25729,23893,23273,25262,27986,28900,25505,21729,14664,10524,8623,7491,6663,380409
Baltimore City,2045,Total,37485,34207,32717,39287,47721,54511,48311,43544,42681,38743,44410,45332,38292,27583,20693,17518,14957,15636,643628
Somerset County,2030,Total Hispanic,141,136,113,166,157,75,42,59,91,60,52,22,9,5,2,0,2,4,1136
Charles County,2030,Total Non-Hispanic White,2614,2534,2691,2732,2547,2703,3055,3228,3038,3152,2893,3288,4310,4878,4222,3161,2238,1902,55186
Baltimore County,2015,Total Non-Hispanic Black,15226,16372,16777,17250,18271,17289,15540,15236,15595,16084,15888,14184,11556,9158,5468,3462,2317,2580,228253
Harford County,2040,Total,17834,17810,17777,17482,15064,15093,17349,18569,19242,18586,16982,15861,13626,13618,14252,13449,11208,15415,289217
St. Mary's County,2025,Total Hispanic,690,633,767,756,669,526,532,502,579,460,359,276,251,153,103,76,26,8,7366
Washington County,2015,Non-Hisp Black Male,533,508,550,712,1308,1210,998,909,861,828,693,490,269,139,69,46,19,3,10145
Howard County,2010,Hispanic Male,878,837,810,741,722,780,870,722,694,544,363,236,153,95,44,37,20,12,8558
Wicomico County,2035,Non-Hisp Other Male,392,388,336,310,309,397,347,339,265,272,207,197,177,112,118,58,4,1,4229
Dorchester Co,2045,Non-Hisp White Male,499,562,580,523,468,517,559,671,729,715,736,842,861,673,625,577,473,417,11027
Prince George's County,2025,Hispanic Male,7776,6973,7966,7623,7817,6149,7756,9054,9712,9054,7071,5260,3699,2520,914,495,218,84,100141
Carroll County,2025,Total Non_Hispanic Other,713,624,553,869,605,494,469,425,332,323,481,464,458,353,226,100,58,49,7596
Frederick County,2015,Total Female,7034,7376,8266,8699,7576,7356,7611,7468,8309,9620,10511,9257,7382,5973,4050,2925,2224,3359,124996
Dorchester Co,2025,Hispanic Male,169,146,120,96,65,63,75,93,117,92,54,38,16,14,9,6,7,6,1186
Baltimore County,2025,Total Non-Hispanic White,18315,19505,21590,22823,23382,23696,23395,25723,25139,23304,23584,28129,33534,34417,28029,22121,14013,18560,429259
Somerset County,2035,Non-Hisp Other Female,63,39,53,62,84,59,46,42,42,31,23,14,9,10,12,15,4,3,611
Anne Arundel County,2035,Non-Hisp Black Male,4259,4372,4580,4338,4159,3968,4448,4339,4816,4369,4447,3413,2987,2717,2120,1451,774,541,62098
Anne Arundel County,2015,Non-Hisp White Male,10857,10490,11095,11908,12972,12889,13051,10971,11572,13831,16259,15419,12976,11258,7830,4669,3014,2665,193726
Montgomery County,2045,Hispanic Male,13004,12755,11734,10708,9697,8986,9042,8776,8761,8001,8359,9000,9620,7962,5978,4547,2453,1533,150916
Anne Arundel County,2025,Non-Hisp Black Female,3463,3568,3543,3310,3021,3444,4220,4402,4391,3731,3530,3807,3657,3014,1995,1370,708,751,55925
Montgomery County,2030,Total,71887,69337,70039,66550,57697,69607,70047,75985,80906,77462,70155,66727,64382,61719,53329,42102,30216,30674,1128821
Kent County,2030,Non-Hisp Black Female,56,53,65,83,72,49,42,66,101,75,103,95,134,200,156,84,61,182,1677
Queen Anne's County,2025,Total Non-Hispanic Black,168,159,177,207,209,168,201,190,310,271,196,242,304,371,282,164,96,97,3812
Harford County,2020,Non-Hisp Black Female,1237,1236,1399,1422,1203,1309,1297,1233,1290,1371,1418,1347,1153,768,575,274,160,179,18871
State of Maryland,2020,Non-Hisp White Male,77098,74405,78089,84629,86631,100562,102954,95430,81793,84831,102509,121496,116208,96269,77719,51841,30837,31263,1494564
Baltimore County,2010,Non-Hisp Other Male,3161,2755,2303,2316,2245,2232,2417,2410,1944,1687,1551,1195,1042,693,577,300,148,101,29077
Washington County,2010,Total Non_Hispanic Other,862,839,696,514,312,355,313,364,306,320,252,208,145,92,78,48,23,15,5742
Baltimore County,2015,Total Male,24920,25417,25598,27128,27970,27891,25549,24053,23363,25089,27456,28227,24013,19646,12620,8576,6438,7824,391778
Wicomico County,2015,Total Non-Hispanic Black,2073,1921,2039,2040,2226,1760,1643,1502,1410,1506,1731,1680,1353,985,596,424,273,298,25460
Garrett County,2045,Hispanic Female,35,34,31,22,30,16,26,11,11,11,23,17,30,14,12,10,4,3,340
Baltimore County,2030,Non-Hisp Black Male,9791,10070,10389,10196,9420,8774,8791,9807,9242,7924,7264,7213,7085,6243,4791,3118,2062,1443,133623
Dorchester Co,2015,Non-Hisp Black Female,286,329,301,287,302,332,291,283,313,317,324,367,385,194,168,122,88,142,4831
Allegany County,2035,Total,3177,3555,3665,5042,4914,4455,5347,5022,5740,4547,4755,3890,4234,4316,4263,3760,2660,2560,75902
Cecil County,2030,Non-Hisp Black Male,413,411,472,422,331,436,508,492,372,325,354,358,406,282,157,49,37,34,5859
Worcester County,2015,Total Male,1050,1278,1442,1347,1241,1226,1204,1139,1310,1681,2039,2016,2070,1897,1559,1150,699,572,24920
Harford County,2040,Hispanic Female,833,820,727,756,762,822,871,700,565,499,407,444,398,337,263,246,161,47,9658
Anne Arundel County,2010,Total Male,17718,17330,17766,18274,19464,18827,17255,17559,19469,21712,20439,17199,14747,10638,6815,4851,3311,2389,265763
Talbot County,2015,Non-Hisp Other Female,22,78,74,57,44,24,39,30,25,49,40,18,18,5,8,7,2,5,545
St. Mary's County,2010,Total Non-Hispanic Black,1106,1159,1100,1238,1099,1024,812,933,1172,1304,1071,779,634,474,312,241,209,164,14831
Prince George's County,2030,Non-Hisp Black Male,17455,17209,16756,18187,17630,15888,16864,20459,17757,15738,14357,14665,15876,15528,12467,8520,5733,4886,265975
State of Maryland,2025,Hispanic Male,31291,28980,31005,30779,29297,24577,26920,30019,32376,29312,23886,18681,14033,9228,4922,2993,1331,910,370540
Carroll County,2045,Total,9205,10468,10481,10809,9809,8173,8617,10020,10810,10994,10881,10303,8875,7390,8619,10731,11491,17480,185156
Garrett County,2045,Total,1626,1708,1848,1934,1702,1459,1507,1772,1972,2076,1986,1890,2029,1810,1754,1591,1348,1483,31495
Calvert County,2030,Total Non_Hispanic Other,420,398,367,321,341,408,371,313,301,261,233,274,319,233,160,103,64,11,4898
Anne Arundel County,2040,Non-Hisp Black Female,4337,4378,4366,3933,3600,4034,4925,4858,4696,4884,4731,4695,3843,3467,3220,2716,1788,1567,70038
Kent County,2035,Total Non-Hispanic Black,103,94,100,136,140,106,108,112,227,239,251,241,201,287,291,191,130,257,3214
Kent County,2030,Non-Hisp White Female,270,333,366,564,565,339,210,288,403,335,420,554,767,927,901,650,594,653,9139
Baltimore City,2040,Non-Hisp Black Male,12604,11905,12260,13268,13903,12374,12147,11560,11767,13412,12515,11333,8887,6454,6072,5524,4078,2848,182911
Allegany County,2045,Total Male,1623,1752,1783,2515,3035,2798,3206,3045,2958,2704,3173,2568,2402,1785,1585,1511,1135,1147,40725
Wicomico County,2025,Non-Hisp Black Female,1145,1199,1180,1244,1229,1048,1162,1150,1073,868,771,846,1026,877,616,413,196,237,16280
Calvert County,2030,Non-Hisp Other Female,205,198,167,151,169,231,209,183,175,156,139,160,194,133,85,63,47,5,2670
Allegany County,2040,Non-Hisp White Male,1371,1539,1631,1951,2019,1651,2095,2056,2099,2469,2077,2163,1804,1714,1747,1518,1112,1027,32043
Charles County,2045,Total Non-Hispanic Black,8999,9596,10504,10765,7658,7639,7924,8379,9141,10147,9819,7911,6732,6252,6975,6896,3893,2947,142177
Queen Anne's County,2045,Hispanic Male,169,158,136,126,106,98,89,90,71,53,61,85,96,66,24,17,13,12,1470
Washington County,2010,Hispanic Female,332,267,254,201,184,187,228,181,176,131,99,55,45,32,27,18,16,10,2443
Wicomico County,2035,Total Female,3850,3848,3523,4697,4748,4602,4279,4413,4192,3763,3393,3311,2900,2982,3205,2795,2087,2381,64969
Calvert County,2035,Total Non_Hispanic Other,398,447,425,350,187,364,432,386,329,309,262,232,280,230,217,139,79,11,5077
Somerset County,2025,Hispanic Female,65,55,46,106,78,30,34,52,35,29,25,7,3,2,1,1,1,4,574
State of Maryland,2015,Hispanic Male,29330,26527,24089,21601,24854,28534,31300,28489,23576,18863,14560,10311,6727,4134,2186,1491,776,666,298014
St. Mary's County,2020,Total,7880,8002,8724,8573,7496,7885,8084,8235,7258,7187,8368,9078,7420,5261,4211,2954,1833,1705,120154
Calvert County,2025,Total Female,2710,2941,2948,2840,2476,2770,3318,3280,2964,2530,2808,3830,4136,3285,2572,1941,1255,1393,49997
Worcester County,2015,Non-Hisp Black Female,184,236,253,231,230,206,216,202,168,213,314,293,224,230,147,170,106,108,3731
